step,sol,hour,temperature_c,wind_ms,tau,storm,solar_kw,wind_kw,nuclear_kw,generation_kw,consumption_kw,battery_kwh,battery_pct,broken_count,energy_level,slope,predicted_delta,mod1_ok,mod2_ok,mod3_ok,mod7_ok,mod6_ok,mod8_ok
0,0,0,-84.389,5.117,0.506,clear,0.0,5.293,80.0,85.293,107.5,227.793,45.56,0,NOMINAL,0.0,0.0,1,1,1,1,1,1
1,0,1,-90.014,2.908,0.5,clear,0.0,0.0,80.0,80.0,100.603,207.191,41.44,0,NOMINAL,0.0,-22.2067,1,1,1,1,1,1
2,0,2,-93.329,0.421,0.5,clear,0.0,0.0,80.0,80.0,94.22,192.971,38.59,0,NOMINAL,1.6042,-18.9984,1,1,1,1,1,1
3,0,3,-96.2,5.817,0.541,clear,0.0,7.043,80.0,87.043,89.861,190.153,38.03,0,LOW,3.9934,-11.023,1,1,1,1,1,1
4,0,4,-95.094,5.038,0.502,clear,0.0,5.095,80.0,85.095,88.865,186.383,37.28,0,LOW,6.4551,1.176,1,1,1,1,1,1
5,0,5,-87.626,2.851,0.5,clear,0.0,0.0,80.0,80.0,87.059,179.324,35.86,0,LOW,5.4659,3.6744,1,1,1,1,1,1
6,0,6,-86.965,2.867,0.5,clear,0.0,0.0,80.0,80.0,84.731,174.593,34.92,0,LOW,3.9325,1.9844,1,1,1,1,1,1
7,0,7,-79.116,5.119,0.506,clear,15.574,5.296,80.0,100.87,83.181,192.283,38.46,0,LOW,3.213,2.0798,1,1,1,1,1,1
8,0,8,-70.957,6.057,0.553,clear,28.707,7.643,80.0,116.351,88.886,219.747,43.95,0,LOW,4.5138,13.0975,1,1,1,1,1,1
9,0,9,-60.017,8.233,0.662,clear,36.413,13.083,80.0,129.496,97.743,251.5,50.3,0,HIGH,5.4716,23.9967,1,1,1,1,1,1
10,0,10,-49.656,10.084,0.754,clear,40.655,17.71,80.0,138.365,107.5,282.365,56.47,0,HIGH,5.8947,32.5707,1,1,1,1,1,1
11,0,11,-40.26,12.545,0.877,clear,40.096,23.861,80.0,143.957,107.5,318.822,63.76,0,HIGH,5.8172,37.8452,1,1,1,1,1,1
12,0,12,-38.639,11.798,0.84,clear,43.088,21.996,80.0,145.084,107.5,356.407,71.28,0,HIGH,5.7638,43.1997,1,1,1,1,1,1
13,0,13,-31.037,8.773,0.689,clear,48.417,14.433,80.0,142.849,107.5,391.756,78.35,0,HIGH,5.5786,47.2356,1,1,1,1,1,1
14,0,14,-26.582,8.952,0.698,clear,43.022,14.881,80.0,137.903,107.5,422.159,84.43,0,HIGH,5.239,49.4182,1,1,1,1,1,1
15,0,15,-23.182,5.408,0.52,clear,41.938,6.02,80.0,127.958,107.5,442.617,88.52,0,HIGH,4.7637,49.5865,1,1,1,1,1,1
16,0,16,-27.569,6.713,0.586,clear,27.781,9.284,80.0,117.065,107.5,452.181,90.44,0,HIGH,4.1211,47.068,1,1,1,1,1,1
17,0,17,-33.502,3.165,0.5,clear,15.667,0.413,80.0,96.079,107.5,440.761,88.15,0,SURPLUS,3.3858,42.3648,1,1,1,1,1,1
18,0,18,-34.765,4.545,0.5,clear,0.0,3.862,80.0,83.862,107.5,417.123,83.42,0,HIGH,2.4421,33.7982,1,1,1,1,1,1
19,0,19,-42.988,2.006,0.5,clear,0.0,0.0,80.0,80.0,107.5,389.623,77.92,0,HIGH,1.5353,24.1485,1,1,1,1,1,1
20,0,20,-48.385,1.731,0.5,clear,0.0,0.0,80.0,80.0,107.5,362.123,72.42,0,HIGH,0.7974,15.3541,1,1,1,1,1,1
21,0,21,-56.945,4.0,0.5,clear,0.0,2.5,80.0,82.5,107.5,337.122,67.42,0,HIGH,0.2409,7.9888,1,1,1,1,1,1
22,0,22,-69.071,3.926,0.5,clear,0.0,2.316,80.0,82.316,107.5,311.938,62.39,0,HIGH,-0.1503,2.2316,1,1,1,1,1,1
23,0,23,-76.978,2.22,0.5,clear,0.0,0.0,80.0,80.0,107.5,284.438,56.89,0,NOMINAL,-0.4483,-2.6867,1,1,1,1,1,1
24,1,0,-87.311,1.34,0.5,clear,0.0,0.0,80.0,80.0,107.551,256.887,51.38,0,LOW,-0.6964,-7.2705,1,1,1,1,1,1
25,1,1,-91.555,2.571,0.5,clear,0.0,0.0,80.0,80.0,107.886,229.001,45.8,0,LOW,-0.8836,-11.2118,1,1,1,1,1,1
26,1,2,-95.28,4.553,0.5,clear,0.0,3.883,80.0,83.883,101.408,211.476,42.3,0,LOW,-1.0262,-14.6607,1,1,1,1,1,1
27,1,3,-91.767,1.376,0.5,clear,0.0,0.0,80.0,80.0,95.479,195.998,39.2,0,LOW,-1.0489,-16.1111,1,1,1,1,1,1
28,1,4,-91.868,3.638,0.5,clear,0.0,1.595,80.0,81.595,90.495,187.097,37.42,0,LOW,-1.0442,-17.0697,1,1,1,1,1,1
29,1,5,-87.583,1.582,0.5,clear,0.0,0.0,80.0,80.0,87.286,179.811,35.96,0,LOW,-0.9879,-16.9871,1,1,1,1,1,1
30,1,6,-84.905,2.733,0.5,clear,0.0,0.0,80.0,80.0,84.864,174.947,34.99,0,LOW,-0.9253,-16.6815,1,1,1,1,1,1
31,1,7,-75.757,6.543,0.577,clear,14.474,8.858,80.0,103.332,83.295,194.984,39.0,0,LOW,-0.8538,-16.0819,1,1,1,1,1,1
32,1,8,-67.306,6.26,0.563,clear,28.361,8.15,80.0,116.511,89.757,221.738,44.35,0,LOW,-0.6486,-12.4209,1,1,1,1,1,1
33,1,9,-59.971,7.711,0.636,clear,37.302,11.777,80.0,129.079,91.064,259.753,51.95,1,NOMINAL,-0.4391,-8.321,0,1,1,1,1,1
34,1,10,-47.927,7.895,0.645,clear,45.266,12.238,80.0,137.504,99.5,297.757,59.55,1,NOMINAL,-0.2055,-3.3088,0,1,1,1,1,1
35,1,11,-39.686,10.854,0.793,clear,43.545,19.635,80.0,143.18,99.5,341.437,68.29,1,HIGH,-0.0087,1.2072,0,1,1,1,1,1
36,1,12,-33.822,12.384,0.869,clear,41.761,23.46,80.0,145.221,99.5,387.158,77.43,1,HIGH,0.1826,5.9177,0,1,1,1,1,1
37,1,13,-27.547,9.396,0.72,clear,46.839,15.989,80.0,142.828,99.5,430.486,86.1,1,HIGH,0.3524,10.4034,0,1,1,1,1,1
38,1,14,-27.137,12.48,0.874,clear,35.993,23.7,80.0,139.693,99.5,470.679,94.14,1,HIGH,0.4857,14.2215,0,1,1,1,1,1
39,1,15,-20.998,9.48,0.724,clear,34.145,16.199,80.0,130.344,99.5,500.0,100.0,1,SURPLUS,0.5856,17.371,0,1,1,1,1,1
40,1,16,-26.331,9.205,0.71,clear,24.478,15.512,80.0,119.99,99.5,500.0,100.0,1,SURPLUS,0.6349,19.3039,0,1,1,1,1,1
41,1,17,-28.73,5.557,0.528,clear,15.206,6.392,80.0,101.598,99.5,500.0,100.0,1,SURPLUS,0.6391,20.0545,0,1,1,1,1,1
42,1,18,-35.798,1.491,0.5,clear,0.0,0.0,80.0,80.0,99.5,480.5,96.1,1,SURPLUS,0.5794,18.9834,0,1,1,1,1,1
43,1,19,-44.579,0.974,0.5,clear,0.0,0.0,80.0,80.0,99.5,461.0,92.2,1,SURPLUS,0.4574,15.983,0,1,1,1,1,1
44,1,20,-50.045,1.018,0.5,clear,0.0,0.0,80.0,80.0,99.5,441.5,88.3,1,SURPLUS,0.3498,13.2146,0,1,1,1,1,1
45,1,21,-59.889,2.62,0.5,clear,0.0,0.0,80.0,80.0,99.5,422.0,84.4,1,HIGH,0.255,10.6565,0,1,1,1,1,1
46,1,22,-71.454,3.179,0.5,clear,0.0,0.447,80.0,80.447,99.5,402.947,80.59,1,HIGH,0.1713,8.2892,0,1,1,1,1,1
47,1,23,-77.317,0.421,0.5,clear,0.0,0.0,80.0,80.0,99.5,383.447,76.69,1,HIGH,0.0986,6.1335,0,1,1,1,1,1
48,2,0,-83.172,2.834,0.5,clear,0.0,0.0,80.0,80.0,99.5,363.947,72.79,1,HIGH,0.0332,4.096,0,1,1,1,1,1
49,2,1,-90.356,3.516,0.5,clear,0.0,1.289,80.0,81.289,99.791,345.445,69.09,1,HIGH,-0.0927,1.0676,0,1,1,1,1,1
50,2,2,-91.049,3.446,0.5,clear,0.0,1.115,80.0,81.115,107.846,318.714,142.0,0,NOMINAL,-0.2121,-1.8137,1,1,1,1,1,1
51,2,3,-92.916,6.46,1.573,light,0.0,8.649,80.0,88.649,107.993,299.37,59.87,0,NOMINAL,-0.3357,-5.1034,1,1,1,1,1,1
52,2,4,-92.833,4.753,1.5,light,0.0,4.382,80.0,84.382,107.987,275.764,55.15,0,NOMINAL,-0.4088,-7.2389,1,1,1,1,1,1
53,2,5,-90.417,2.374,1.5,light,0.0,0.0,80.0,80.0,107.796,247.968,49.59,0,NOMINAL,-0.4936,-9.7277,1,1,1,1,1,1
54,2,6,-86.913,3.13,1.5,light,0.0,0.324,80.0,80.324,106.864,221.428,44.29,0,LOW,-0.5956,-12.6588,1,1,1,1,1,1
55,2,7,-82.424,4.868,1.5,light,5.74,4.671,80.0,90.411,98.286,213.554,42.71,0,LOW,-0.6859,-15.3269,1,1,1,1,1,1
56,2,8,-66.602,6.604,1.58,light,0.0,9.011,80.0,89.011,94.855,207.709,41.54,1,LOW,-0.6667,-15.3877,1,1,1,1,1,1
57,2,9,-62.105,7.062,1.603,light,0.0,10.154,80.0,90.154,92.988,204.876,40.98,1,LOW,-0.6134,-14.778,1,1,1,1,1,1
58,2,10,-51.986,10.805,1.79,light,0.0,19.513,80.0,99.513,92.083,212.306,42.46,1,LOW,-0.5375,-13.6388,1,1,1,1,1,1
59,2,11,-45.834,11.131,1.807,light,0.0,20.328,80.0,100.328,94.457,218.178,43.64,1,NOMINAL,-0.4341,-11.5915,1,1,1,1,1,1
60,2,12,-36.498,12.596,1.88,light,0.0,23.989,80.0,103.989,96.333,225.834,45.17,1,NOMINAL,-0.3171,-9.364,1,1,1,1,1,1
61,2,13,-28.408,11.373,1.819,light,0.0,20.933,80.0,100.933,98.779,227.988,45.6,1,NOMINAL,-0.1893,-6.8565,1,1,1,1,1,1
62,2,14,-24.236,11.02,1.801,light,0.0,20.051,80.0,100.051,99.467,228.572,45.71,1,NOMINAL,-0.0783,-4.8269,1,1,1,1,1,1
63,2,15,-22.753,9.123,1.706,light,0.0,15.307,80.0,95.307,99.654,224.225,44.84,1,NOMINAL,0.0192,-3.0592,1,1,1,1,1,1
64,2,16,-26.492,7.022,1.601,light,0.0,10.055,80.0,90.055,98.265,216.015,43.2,1,NOMINAL,0.081,-2.0639,1,1,1,1,1,1
65,2,17,-27.197,5.608,1.53,light,0.0,6.519,80.0,86.519,95.642,206.892,41.38,1,NOMINAL,0.1065,-1.8074,1,1,1,1,1,1
66,2,18,-33.056,1.3,1.5,light,0.0,0.0,80.0,80.0,92.727,194.165,38.83,1,NOMINAL,0.0759,-2.5099,1,1,1,1,1,1
67,2,19,-42.326,3.167,1.5,light,0.0,0.418,80.0,80.418,88.661,185.922,37.18,1,LOW,0.0034,-4.0604,1,1,1,1,1,1
68,2,20,-52.416,1.196,1.5,light,0.0,0.0,80.0,80.0,86.027,179.895,35.98,1,LOW,-0.0692,-5.4374,1,1,1,1,1,1
